Education_Sector,School_Name,School_Type,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,LGA_Name,X,Y
Government,Trafalgar Primary School,Primary,85 School Road,,Trafalgar,VIC,3824,Baw Baw (S),146.15987,-38.214764
Government,Kinglake Primary School,Primary,20 Mcmahons Rd,,Kinglake,VIC,3763,Murrindindi (S),145.356638,-37.521567
Government,Ellinbank Primary School,Primary,13 Community Place,,Ellinbank,VIC,3821,Baw Baw (S),145.935631,-38.240233
Government,Tambo Upper Primary School,Primary,890 Tambo Upper Road,,Tambo Upper,VIC,3885,East Gippsland (S),147.845203,-37.766199
Government,Baranduda Primary School,Primary,7 Verbena Street,,Baranduda,VIC,3691,Wodonga (C),146.948115,-36.180533
Government,Tungamah Primary School,Primary,15 -17 Tower Street,,Tungamah,VIC,3728,Moira (S),145.879472,-36.161306
Government,Bunyip Primary School,Primary,1290 Nar Nar Goon - Longwarry Road,,Bunyip,VIC,3815,Cardinia (S),145.712509,-38.09884
Government,Gunbower Primary School,Primary,2 School Road,,Gunbower,VIC,3566,Campaspe (S),144.372318,-35.954628
Government,Nar Nar Goon Primary School,Primary,27 Spencer Street,,Nar Nar Goon,VIC,3812,Cardinia (S),145.574014,-38.082766
Government,Toora Primary School,Primary,5 Harriet Street,,Toora,VIC,3962,South Gippsland (S),146.327991,-38.663517
Government,Montrose Primary School,Primary,17-21 Leith Road,,Montrose,VIC,3765,Yarra Ranges (S),145.343691,-37.808098
Government,Koondrook Primary School,Primary,9 Punt Road,,Koondrook,VIC,3580,Gannawarra (S),144.129868,-35.634872
Government,Magpie Primary School,Primary,61 Docwra Street,,Magpie,VIC,3352,Ballarat (C),143.843266,-37.615709
Government,Tawonga Primary School,Primary,Kiewa Valley Highway,,Tawonga,VIC,3697,Alpine (S),147.143253,-36.691398
Government,Narracan Primary School,Primary,32 School Road,,Narracan,VIC,3824,Baw Baw (S),146.231626,-38.261575
Government,Drouin South Primary School,Primary,3061 Westernport Road,,Drouin South,VIC,3818,Baw Baw (S),145.826818,-38.170566
Government,Eskdale Primary School,Primary,3790 Omeo Highway,,Eskdale,VIC,3701,Towong (S),147.251247,-36.465266
Government,Darnum Primary School,Primary,6 Graham Street,,Darnum,VIC,3822,Baw Baw (S),145.999698,-38.187727
Government,Moorooduc Primary School,Primary,Cnr Derril Rd & Mornington Tyabb Rd,,Moorooduc,VIC,3933,Mornington Peninsula (S),145.105166,-38.248085
Government,The Basin Primary School,Primary,Cnr Liverpool Road & Mountain Highway,,The Basin,VIC,3154,Knox (C),145.308425,-37.84951
Government,Paynesville Primary School,Primary,31 - 47 Ashley Street,,Paynesville,VIC,3880,East Gippsland (S),147.714701,-37.91128
Government,Epsom Primary School,Primary,Howard Street,,Epsom,VIC,3551,Greater Bendigo (C),144.312687,-36.70505
Government,Kensington Primary School,Primary,62-74 McCracken Street,,Kensington,VIC,3031,Melbourne (C),144.927615,-37.79267
Government,Hazelwood North Primary School,Primary,121 Church Road,,Hazelwood North,VIC,3840,Latrobe (C),146.44768,-38.26819
Government,Mirboo North Primary School,Primary,Balook Street,,Mirboo North,VIC,3871,South Gippsland (S),146.151092,-38.400492
Government,Yinnar Primary School,Primary,30 Main Street,,Yinnar,VIC,3869,Latrobe (C),146.328907,-38.321087
Government,Neerim South Primary School,Primary,180 Main Neerim Road,,Neerim South,VIC,3831,Baw Baw (S),145.955358,-38.01531
Government,Ivanhoe Primary School,Primary,124 Waterdale Road,,Ivanhoe,VIC,3079,Banyule (C),145.04298,-37.766573
Government,Portarlington Primary School,Primary,100 Newcombe Street,,Portarlington,VIC,3223,Greater Geelong (C),144.65498,-38.115522
Government,Menzies Creek Primary School,Primary,12 School Road,,Menzies Creek,VIC,3159,Yarra Ranges (S),145.394271,-37.917349
Government,St Kilda Park Primary School,Primary,68 Fitzroy Street,,St Kilda,VIC,3182,Port Phillip (C),144.977794,-37.858117
Government,Labertouche Primary School,Primary,35 School Road,,Labertouche,VIC,3816,Baw Baw (S),145.804945,-38.037672
Government,Diggers Rest Primary School,Primary,70-90 Plumpton Road,,Diggers Rest,VIC,3427,Melton (C),144.709232,-37.622632
Government,Longwarry Primary School,Primary,5 McCrae Street,,Longwarry,VIC,3816,Baw Baw (S),145.769135,-38.1141
Government,Gembrook Primary School,Primary,50 Main Street,,Gembrook,VIC,3783,Cardinia (S),145.545319,-37.951638
Government,Wurruk Primary School,Primary,13 -19 Fisk Street,,Wurruk,VIC,3850,Wellington (S),147.039947,-38.106803
Government,Willow Grove Primary School,Primary,39-45 Moe-Willow Grove Road,,Willow Grove,VIC,3825,Baw Baw (S),146.17734,-38.071392
Government,Hoddles Creek Primary School,Primary,700 Gembrook-Launching Place Road,,Hoddles Creek,VIC,3139,Yarra Ranges (S),145.5977536,-37.83173912
Government,Beaconsfield Upper Primary School,Primary,40 Stoney Creek Road,,BEACONSFIELD UPPER,VIC,3808,Cardinia (S),145.414758,-37.995404
Government,Congupna Primary School,Primary,3580 Katamatite Road,,Congupna,VIC,3633,Greater Shepparton (C),145.434275,-36.299866
Government,Redesdale Mia Mia Primary School,Primary,31 School Road,,Redesdale,VIC,3444,Greater Bendigo (C),144.530885,-37.019525
Government,Malvern Primary School,Primary,17 Tooronga Road,,Malvern East,VIC,3145,Stonnington (C),145.038458,-37.871592
Government,Launching Place Primary School,Primary,Carter Street,,Launching Place,VIC,3139,Yarra Ranges (S),145.5707669,-37.78250174
Government,Carlton Gardens Primary School,Primary,215 Rathdowne Street,,Carlton,VIC,3053,Melbourne (C),144.969512,-37.802047
Government,Ascot Vale Primary School,Primary,Bank Street,,Ascot Vale,VIC,3032,Moonee Valley (C),144.926119,-37.774322
Government,Boolarra Primary School,Primary,Tarwin Street,,Boolarra,VIC,3870,Latrobe (C),146.268869,-38.382873
Government,Rosebud Primary School,Primary,Point Nepean Road,,Rosebud,VIC,3939,Mornington Peninsula (S),144.908999,-38.355761
Government,Koo Wee Rup Primary School,Primary,28-34 Moody Street,,Koo Wee Rup,VIC,3981,Cardinia (S),145.492857,-38.194834
Government,Armadale Primary School,Primary,9-23 Densham Road,,Armadale,VIC,3143,Stonnington (C),145.017773,-37.852186
Government,Osborne Primary School,Primary,120 Craigie Rd,,Mount Martha,VIC,3934,Mornington Peninsula (S),145.040906,-38.257107
Government,Somerville Primary School,Primary,37 Eramosa Road East,,Somerville,VIC,3912,Mornington Peninsula (S),145.179139,-38.224016
Government,Willaura Primary School,Primary,14 Warranooke Street,,Willaura,VIC,3379,Ararat (RC),142.739458,-37.54469
Government,Echuca East Primary School,Primary,21-31 Eyre Street,,Echuca,VIC,3564,Campaspe (S),144.761108,-36.134052
Government,Lakes Entrance Primary School,Primary,49 Myer Street,,Lakes Entrance,VIC,3909,East Gippsland (S),147.994237,-37.875976
Government,Myrrhee Primary School,Primary,1673 Benalla Whitfield Road,,Myrrhee,VIC,3732,Wangaratta (RC),146.318249,-36.738189
Government,Longwood Primary School,Primary,1-21 Hurley Street,,Longwood,VIC,3665,Strathbogie (S),145.422063,-36.807932
Government,Forrest Primary School,Primary,10 Grant Street,,Forrest,VIC,3236,Colac-Otway (S),143.714415,-38.516287
Government,Fairfield Primary School,Primary,Langridge Street,,Fairfield,VIC,3078,Darebin (C),145.020401,-37.777993
Government,Nilma Primary School,Primary,76 Bloomfield Road,,Nilma,VIC,3821,Baw Baw (S),145.974293,-38.165737
